domain,path,status
sub9.yourdomainhere.com,/lander,200
sub6.yourdomainhere.com,/lander,200
sub26.yourdomainhere.com,/api-catalog,200
sub26.yourdomainhere.com,/api/status,200
sub27.yourdomainhere.com,/,200
sub27.yourdomainhere.com,/click,200
sub10.yourdomainhere.com,/lander,200
sub28.yourdomainhere.com,/,200
sub11.yourdomainhere.com,/lander,200
sub27.yourdomainhere.com,/api-catalog,200
sub28.yourdomainhere.com,/click,200
sub28.yourdomainhere.com,/api-catalog,200
sub27.yourdomainhere.com,/api/status,200
sub29.yourdomainhere.com,/,200
sub29.yourdomainhere.com,/click,200
sub29.yourdomainhere.com,/api/status,200
sub5.yourdomainhere.com,/lander,200
sub29.yourdomainhere.com,/api-catalog,200
sub28.yourdomainhere.com,/api/status,000000
sub30.yourdomainhere.com,/,200
sub30.yourdomainhere.com,/click,200
sub30.yourdomainhere.com,/api/status,200
sub30.yourdomainhere.com,/api-catalog,200
sub31.yourdomainhere.com,/,200
sub8.yourdomainhere.com,/lander,200
sub15.yourdomainhere.com,/lander,200
sub31.yourdomainhere.com,/api/status,200
sub31.yourdomainhere.com,/api-catalog,200
sub31.yourdomainhere.com,/click,200
sub13.yourdomainhere.com,/lander,200
sub7.yourdomainhere.com,/lander,200
sub32.yourdomainhere.com,/click,000000
sub32.yourdomainhere.com,/,200
sub32.yourdomainhere.com,/api-catalog,200
sub33.yourdomainhere.com,/api-catalog,200
sub33.yourdomainhere.com,/click,200
sub34.yourdomainhere.com,/,200
sub33.yourdomainhere.com,/,200
sub34.yourdomainhere.com,/click,200
sub32.yourdomainhere.com,/api/status,200
sub33.yourdomainhere.com,/api/status,200
sub34.yourdomainhere.com,/api/status,200
sub35.yourdomainhere.com,/,200
sub34.yourdomainhere.com,/api-catalog,200
sub14.yourdomainhere.com,/lander,200
sub35.yourdomainhere.com,/api-catalog,200
sub35.yourdomainhere.com,/click,200
sub35.yourdomainhere.com,/api/status,000000
sub36.yourdomainhere.com,/click,200
sub36.yourdomainhere.com,/,200
sub16.yourdomainhere.com,/lander,200
sub36.yourdomainhere.com,/api/status,000000
sub37.yourdomainhere.com,/api/status,200
sub37.yourdomainhere.com,/api-catalog,200
sub36.yourdomainhere.com,/api-catalog,200
sub17.yourdomainhere.com,/lander,200
sub37.yourdomainhere.com,/,200
sub37.yourdomainhere.com,/click,200
sub38.yourdomainhere.com,/click,200
sub38.yourdomainhere.com,/lander,000000
sub22.yourdomainhere.com,/lander,200
sub38.yourdomainhere.com,/,200
sub38.yourdomainhere.com,/api/status,200
sub38.yourdomainhere.com,/api-catalog,200
sub12.yourdomainhere.com,/lander,200
sub25.yourdomainhere.com,/lander,200
sub18.yourdomainhere.com,/lander,200
sub19.yourdomainhere.com,/lander,200
sub39.yourdomainhere.com,/api/status,000000
sub39.yourdomainhere.com,/,200
sub39.yourdomainhere.com,/click,200
sub39.yourdomainhere.com,/api-catalog,200
sub40.yourdomainhere.com,/,200
sub21.yourdomainhere.com,/lander,200
sub26.yourdomainhere.com,/lander,200
sub27.yourdomainhere.com,/lander,200
sub41.yourdomainhere.com,/,200
sub40.yourdomainhere.com,/click,200
sub40.yourdomainhere.com,/api/status,200
sub29.yourdomainhere.com,/lander,200
sub41.yourdomainhere.com,/api/status,000000
sub23.yourdomainhere.com,/lander,200
sub41.yourdomainhere.com,/click,200
sub42.yourdomainhere.com,/api-catalog,200
sub42.yourdomainhere.com,/click,200
sub20.yourdomainhere.com,/lander,200
sub42.yourdomainhere.com,/api/status,200
sub30.yourdomainhere.com,/lander,200
sub40.yourdomainhere.com,/api-catalog,200
sub43.yourdomainhere.com,/click,200
sub43.yourdomainhere.com,/,000000
